date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:06	106971/106971	---M--	200	added ('OK')	image/jpeg	etag:%221a1db-5e4a9304-9a17bc6ec35ebb61;;;%22	http://railwayjobonline.in/images/mp-airport.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/mp-airport.jpg	(from http://railwayjobonline.in/job-available.html)
14:30:07	14517/14517	---M--	200	added ('OK')	image/jpeg	etag:%2238b5-5e4a9304-64a2dede56e641ca;;;%22	http://railwayjobonline.in/images/customer6.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/customer6.jpg	(from http://railwayjobonline.in/index.html)
14:30:07	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-b1d6c303894026ad;gz%22	http://railwayjobonline.in/popper.js	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/popper.js	(from http://railwayjobonline.in/js/bootstrap.min.js)
14:30:07	5597/5597	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215dd-5e4a9304-44ccda56860ab272;gz%22	http://railwayjobonline.in/js/flickerplate.min.js	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/js/flickerplate.min.js	(from http://railwayjobonline.in/index.html)
14:30:08	1574/1574	---M--	200	added ('OK')	image/png	etag:%22626-5e4a9304-d4d59cd3355ef0ff;;;%22	http://railwayjobonline.in/images/arrow-left-light.png	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/arrow-left-light.png	(from http://railwayjobonline.in/css/slider.css)
14:30:08	1745/1745	---M--	200	added ('OK')	image/png	etag:%226d1-5e4a9304-3199dccb97d2c402;;;%22	http://railwayjobonline.in/images/arrow-right-light.png	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/arrow-right-light.png	(from http://railwayjobonline.in/css/slider.css)
14:30:09	2457/2457	---M--	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-b1d6c303894026ad;gz%22	http://railwayjobonline.in/images/arrow-left-dark.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/arrow-left-dark.html	(from http://railwayjobonline.in/css/slider.css)
14:30:09	72742/72742	---M--	200	added ('OK')	image/jpeg	etag:%2211c26-5e4a9304-affdccb333c571c8;;;%22	http://railwayjobonline.in/images/airport/air6.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/airport/air6.jpg	(from http://railwayjobonline.in/job-place.html)
14:30:09	2457/2457	---M--	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-b1d6c303894026ad;gz%22	http://railwayjobonline.in/images/arrow-right-dark.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/arrow-right-dark.html	(from http://railwayjobonline.in/css/slider.css)
14:30:12	83533/83533	---M--	200	added ('OK')	image/jpeg	etag:%221464d-5e4a9304-9a0731812e733767;;;%22	http://railwayjobonline.in/images/airport/air9.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/airport/air9.jpg	(from http://railwayjobonline.in/job-place.html)
